Distillery,Body,Sweetness,Smoky,Medicinal,Tobacco,Honey,Spicy,Winey,Nutty,Malty,Fruity,Floral,Postcode,LatitudeUTM,LongitudeUTM,Lat,Lon,Region,Cluster
Aberfeldy,2,2,2,0,0,2,1,2,2,2,2,2,PH15 2EB,286580,749680,56.62508,-3.85052,Highland,1
Aberlour,3,3,1,0,0,4,3,2,2,3,3,2,AB38 9PJ,326340,842570,57.46728,-3.22997,Speyside,1
AnCnoc,1,3,2,0,0,2,0,0,2,2,3,2,AB54 5LI,352960,839320,57.5637,-2.7589,Highland,2
Ardbeg,4,1,4,4,0,0,2,0,1,2,1,0,PA42 7EB,141560,646220,55.64018,-6.10911,Islay & Islands,3
Ardmore,2,2,2,0,0,1,1,1,2,3,1,1,AB54 4NH,355350,829140,57.35044,-2.74388,Highland,5
Arran Isle Of,2,3,1,1,0,1,1,1,0,1,1,2,KA27 8HJ,194050,649950,55.69948,-5.27964,Islay & Islands,4
Auchentoshan,0,2,0,0,0,1,1,0,2,2,3,3,G81 4SJ,247670,672610,55.92231,-4.43951,Lowland,2
Auchroisk,2,3,1,0,0,2,1,2,2,2,2,1,AB55 6XS,340754,848623,57.54703,-3.11692,Speyside,1
Aultmore,2,2,1,0,0,1,0,0,2,2,2,2,AB55 6QY,340754,848623,57.56654,-3.0009,Speyside,2
Balblair,2,3,2,1,0,0,2,0,2,1,2,1,IV19 1LB,270820,885770,57.8426,-4.17811,Highland,5
Balmenach,4,3,2,0,0,2,1,3,3,0,1,2,PH26 3PF,307750,827170,57.32534,-3.5339,Speyside,6
Belvenie,3,2,1,0,0,3,2,1,0,2,2,2,AB55 4DH,332680,840840,57.45487,-3.12794,Speyside,4
BenNevis,4,2,2,0,0,2,2,0,2,2,2,2,PH33 6TJ,212600,775710,56.83482,-5.07377,Highland,1
Benriach,2,2,1,0,0,2,2,0,0,2,3,2,IV30 8SJ,323450,858380,57.60863,-3.28188,Speyside,4
Benrinnes,3,2,2,0,0,3,1,1,2,3,2,2,AB38 9NN,325800,839920,57.44458,-3.23416,Speyside,1
Benromach,2,2,2,0,0,2,2,1,2,2,2,2,IV36 3EB,303330,859350,57.61361,-3.62003,Speyside,1
Bladnoch,1,2,1,0,0,0,1,1,0,2,2,3,DG8 9AB,242260,554260,54.85811,-4.45884,Lowland,4
BlairAthol,2,2,2,0,0,1,2,2,2,2,2,2,PH16 5LY,294860,757580,56.69768,-3.71859,Highland,1
Bowmore,2,2,3,1,0,2,2,1,1,1,1,2,PA43 7JS,131330,659720,55.75622,-6.29024,Islay & Islands,5
Bruichladdich,1,1,2,2,0,2,2,1,2,2,2,2,PA49 7UN,126680,661400,55.7684,-6.35968,Islay & Islands,5
Bunnahabhain,1,2,1,1,0,1,1,1,1,2,2,3,PA46 7RR,142210,673170,55.88237,-6.12395,Islay & Islands,2
Caol Ila,3,1,4,2,1,0,2,0,2,1,1,1,PA46 7RL,142920,670040,55.85473,-6.10963,Islay & Islands,3
Cardhu,1,3,1,0,0,1,1,0,2,2,2,2,AB38 7RY,318790,843090,57.47036,-3.3561,Speyside,2
Clynelish,3,2,3,3,1,0,2,0,1,1,2,0,KW9 6LR,290250,904230,58.02375,-3.87033,Highland,3
Craigallechie,2,2,2,0,1,2,2,1,2,2,1,4,AB38 9ST,328920,844920,57.48792,-3.19083,Speyside,1
Craigganmore,2,3,2,1,0,0,1,0,2,2,2,2,AB37 9AB,316600,836370,57.41172,-3.38784,Speyside,2
Dailuaine,4,2,2,0,0,1,2,2,2,2,2,1,AB38 7RE,323520,841010,57.4528,-3.27652,Speyside,6
Dalmore,3,2,2,1,0,1,2,2,1,2,3,1,IV17 0UT,266610,868730,57.68868,-4.23894,Highland,6
Dalwhinnie,2,2,2,0,0,2,1,0,1,2,2,2,PH19 1AB,263670,785270,56.93543,-4.24166,Highland,2
Deanston,2,2,1,0,0,2,1,1,1,3,2,1,FK16 6AG,271570,701570,56.18868,-4.07017,Highland,1
Dufftown,2,3,1,1,0,0,0,0,1,2,2,2,AB55 4BR,332360,839200,57.43835,-3.12862,Speyside,2
Edradour,2,3,1,0,0,2,1,1,4,2,2,2,PH16 5JP,295960,757940,56.7016,-3.70242,Highland,1
Glen Deveron Macduff,2,3,1,1,1,1,1,2,0,2,0,1,AB45 3JT,372120,860400,57.6578,-2.51276,Highland,4
Glen Elgin,2,3,1,0,0,2,1,1,1,1,2,3,IV30 8SL,322640,861040,57.59769,-3.28049,Speyside,2
Glen Garioch,2,1,3,0,0,0,3,1,0,2,2,2,AB51 0ES,381020,827590,57.33834,-2.31719,Highland,4
Glen Grant,1,2,0,0,0,1,0,1,2,1,2,1,AB38 7BS,327610,849570,57.53034,-3.21079,Speyside,2
Glen Keith,2,3,1,0,0,1,2,1,2,1,2,1,AB55 5FQ,340754,848623,57.54633,-2.95667,Speyside,2
Glen Moray,1,2,1,0,0,1,2,1,2,2,2,4,IV30 1YE,319820,862320,57.6435,-3.34511,Speyside,2
Glen Ord,3,2,1,0,0,1,2,1,1,2,2,2,IV6 7UJ,251810,850860,57.52218,-4.47821,Highland,4
Glen Scotia,2,2,2,2,0,1,0,1,2,2,1,1,PA28 6DS,172090,621010,55.42968,-5.6038,Highland,5
Glen Spey,1,3,1,0,0,0,1,1,1,2,0,2,AB38 7AU,327760,849140,57.52641,-3.2078,Speyside,4
Glenallachie,1,3,1,0,0,1,1,0,1,2,2,2,AB38 9LR,326490,841240,57.45585,-3.22752,Speyside,2
Glendronach,4,2,2,0,0,2,1,4,2,2,2,0,AB54 6DA,361200,844930,57.49283,-2.64914,Highland,6
Glendullan,3,2,1,0,0,2,1,2,1,2,3,2,AB55 4DJ,333000,840300,57.4479,-3.11838,Speyside,6
Glenfarclas,2,4,1,0,0,1,2,3,2,3,2,2,AB37 9BD,320950,838160,57.42675,-3.31821,Highland,1
Glenfiddich,1,3,1,0,0,0,0,0,0,2,2,2,AB55 4DH,332680,840840,57.45487,-3.12794,Speyside,4
Glengoyne,1,2,0,0,0,1,1,1,2,2,3,2,G63 9LB,252810,682750,56.01494,-4.36304,Highland,2
Glenkinchie,1,2,1,0,0,1,2,0,0,2,2,2,EH34 5ET,344380,666690,55.88999,-2.89126,Lowland,4
Glenlivet,2,3,1,0,0,2,2,2,1,2,2,3,AB37 9DB,319560,828780,57.34334,-3.33872,Speyside,1
Glenlossie,1,2,1,0,0,1,2,0,1,2,2,2,IV30 3SS,322640,861040,57.5987,-3.3193,Speyside,4
Glenmorangie,2,2,1,1,0,1,2,0,2,1,2,2,IV19 1PZ,276750,883450,57.82409,-4.07611,Highland,2
Glenrothes,2,3,1,0,0,1,1,2,1,2,2,0,AB38 7AA,327650,849170,57.52667,-3.21031,Speyside,4
Glenturret,2,3,1,0,0,2,2,2,2,2,1,2,PH7 4HA,285630,723580,56.39106,-3.85522,Highland,1
Highland Park,2,2,3,1,0,2,1,1,1,2,1,1,KW15 1SU,345340,1009260,58.96712,-2.9521,Highland,5
Inchgower,1,3,1,1,0,2,2,0,1,2,1,2,AB56 5AB,342610,863970,57.66182,-2.96389,Speyside,4
Isle of Jura,2,1,2,2,0,1,1,0,2,1,1,1,PA60 7XT,152660,667040,55.83279,-5.95153,Islay & Islands,5
Knochando,2,3,1,0,0,2,2,1,2,1,2,2,AB38 7RT,319470,841570,57.45713,-3.34417,Speyside,1
Lagavulin,4,1,4,4,1,0,1,2,1,1,1,0,PA42 7DZ,140430,645730,55.6358,-6.12593,Islay & Islands,3
Laphroig,4,2,4,4,1,0,0,1,1,1,0,0,PA42 7DU,138680,645160,55.62982,-6.15357,Islay & Islands,3
Linkwood,2,3,1,0,0,1,1,2,0,1,3,2,IV30 8RD,322640,861040,57.62935,-3.28271,Speyside,4
Loch Lomond,1,1,1,1,0,1,1,0,1,2,1,2,G83 0TL,239370,680920,55.99357,-4.57683,Highland,5
Longmorn,3,2,1,0,0,1,1,1,3,3,2,3,IV30 8SA,322640,861040,57.60821,-3.28817,Speyside,1
Macallan,4,3,1,0,0,2,1,4,2,2,3,1,AB38 9RX,327710,844480,57.48465,-3.20696,Speyside,6
Mannochmore,2,1,1,0,0,1,1,1,2,1,2,2,IV30 8GY,322640,861040,57.60102,-3.31835,Speyside,2
Miltonduff,2,4,1,0,0,1,0,0,2,1,1,2,IV30 8TQ,322640,861040,57.62307,-3.3696,Speyside,2
Mortlach,3,2,2,0,0,2,3,3,2,1,2,2,AB55 4AQ,332950,839850,57.4439,-3.11907,Speyside,6
Oban,2,2,2,2,0,0,2,0,2,2,2,0,PA34 5NH,185940,730190,56.41514,-5.47207,Highland,5
Old Fettercairn,1,2,2,0,1,2,2,1,2,3,1,1,AB30 1YB,370860,772900,56.85355,-2.57861,Highland,1
Old Pulteney,2,1,2,2,1,0,1,1,2,2,2,2,KW1 5BA,336730,950130,58.43517,-3.08553,Highland,5
Royal Brackla,2,3,2,1,1,1,2,1,0,2,3,2,IV12 5QY,286040,851320,57.53748,-3.90547,Speyside,4
Royal Lochnagar,3,2,2,0,0,2,2,2,2,2,3,1,AB35 5TB,326140,794370,57.03439,-3.21894,Highland,6
Scapa,2,2,1,1,0,2,1,1,2,2,2,2,KW15 1SE,342850,1008930,58.96366,-2.9958,Islay & Islands,1
Speyburn,2,4,1,0,0,2,1,0,0,2,1,2,AB38 7AG,326930,851430,57.54612,-3.22013,Speyside,4
Speyside,2,2,1,0,0,1,0,1,2,2,2,2,PH21 1NS,278740,800600,57.07695,-4.01119,Speyside,2
Springbank,2,2,2,2,0,2,2,1,2,1,0,1,PA28 6EJ,172280,620910,55.42889,-5.60136,Highland,5
Strathisla,2,2,1,0,0,2,2,2,3,3,3,2,AB55 5BS,340754,848623,57.5465,-2.95425,Speyside,1
Strathmill,2,3,1,0,0,0,2,0,2,1,3,2,AB55 5DQ,342650,850500,57.54087,-2.96,Speyside,2
Talisker,4,2,3,3,0,1,3,0,1,2,2,0,IV47 8SR,137950,831770,57.30096,-6.35242,Islay & Islands,3
Tamdhu,1,2,1,0,0,2,0,1,1,2,2,2,AB38 7RP,319210,841760,57.45815,-3.34826,Speyside,2
Tamnavulin,1,3,2,0,0,0,2,0,2,1,2,3,AB37 9JA,321180,826110,57.31895,-3.31121,Speyside,2
Teaninich,2,2,2,1,0,0,2,0,0,0,2,2,IV17 0XB,265360,869120,57.69148,-4.26074,Highland,4
Tobermory,1,1,1,0,0,1,0,0,1,2,2,2,PA75 6NR,150450,755070,56.62073,-6.0698,Highland,2
Tomatin,2,3,2,0,0,2,2,1,1,2,0,1,IV13 7YT,279120,829630,57.341,-4.01028,Highland,4
Tomintoul,0,3,1,0,0,2,2,1,1,2,1,2,AB37 9AQ,315100,825560,57.31249,-3.41212,Speyside,4
Tormore,2,2,1,0,0,1,0,1,2,1,0,0,PH26 3LR,315180,834960,57.39697,-3.41337,Speyside,5
Tullibardine,2,3,0,0,1,0,2,1,1,2,2,1,PH4 1QG,289690,708850,56.25916,-3.78256,Highland,4
